id,name,artifact_type,category,availability,status,primary_url,description
full-stack-llm-observability-platforms--honeyhive,HoneyHive,platform,Full-Stack LLM Observability Platforms,commercial,active,https://www.honeyhive.ai/,"HoneyHive is an AI observability and evaluation platform for tracing, datasets, experiments, online evaluators, human feedback, and production quality monitoring. Docs"
full-stack-llm-observability-platforms--galileo,Galileo,platform,Full-Stack LLM Observability Platforms,commercial,active,https://galileo.ai/,"Galileo is an enterprise evaluation and observability platform for LLM applications and agents with trace analysis, proprietary evaluators, guardrails, experiments, and production monitoring."
full-stack-llm-observability-platforms--maxim-ai,Maxim AI,platform,Full-Stack LLM Observability Platforms,commercial,active,https://www.getmaxim.ai/,"Maxim AI is an end-to-end platform for agent simulation, evaluation, tracing, prompt experiments, human review, and production quality monitoring. Docs"
full-stack-llm-observability-platforms--freeplay,Freeplay,platform,Full-Stack LLM Observability Platforms,commercial,active,https://freeplay.ai/,"Freeplay is an AI product development platform that combines prompt management, testing, evaluation, observability, and human review over production data. Docs"
full-stack-llm-observability-platforms--parea,Parea,platform,Full-Stack LLM Observability Platforms,open-core,active,https://github.com/parea-ai/parea-sdk-py,"Parea is an LLM engineering platform with open SDKs for tracing, experiments, evaluations, prompt management, and production monitoring. Docs"
full-stack-llm-observability-platforms--traceloop,Traceloop,platform,Full-Stack LLM Observability Platforms,open-core,active,https://www.traceloop.com/,"Traceloop is a managed LLM observability platform built around OpenTelemetry instrumentation, with traces, dashboards, evaluations, alerts, and enterprise deployment options. Docs"
full-stack-llm-observability-platforms--lunary,Lunary,platform,Full-Stack LLM Observability Platforms,commercial,active,https://lunary.ai/,"Lunary is a hosted toolkit for LLM observability, prompt management, user feedback, analytics, evaluations, and team collaboration, with Python and JavaScript client SDKs. Docs"
full-stack-llm-observability-platforms--agenta,Agenta,platform,Full-Stack LLM Observability Platforms,open-source,active,https://github.com/Agenta-AI/agenta,"Agenta is an open-source LLMOps platform for prompt versioning, experiments, automatic and human evaluation, tracing, and production observability. Docs"
full-stack-llm-observability-platforms--posthog-ai-observability,PostHog AI Observability,platform,Full-Stack LLM Observability Platforms,open-core,active,https://posthog.com/ai-observability,"PostHog AI Observability captures generations, traces, sessions, token usage, cost, latency, and errors as product analytics events that can be correlated with user behavior and session replay. Docs"
open-source-tracing-and-self-hosted-observability--arize-phoenix,Arize Phoenix,tool,Open-Source Tracing and Self-Hosted Observability,open-source,active,https://github.com/Arize-ai/phoenix,"Arize Phoenix is an open-source, OpenTelemetry-based observability and evaluation platform for LLM applications and agents, with trace exploration, datasets, experiments, and evaluators. Docs"
open-source-tracing-and-self-hosted-observability--openlit,OpenLIT,tool,Open-Source Tracing and Self-Hosted Observability,open-source,active,https://github.com/openlit/openlit,"OpenLIT is an open-source, OpenTelemetry-native AI engineering platform that auto-instruments LLMs, agents, vector databases, and GPUs and provides traces, metrics, evaluations, and dashboards. Docs"
open-source-tracing-and-self-hosted-observability--mlflow-tracing,MLflow Tracing,tool,Open-Source Tracing and Self-Hosted Observability,open-source,active,https://github.com/mlflow/mlflow,"MLflow Tracing is an open-source, OpenTelemetry-compatible tracing system for LLM applications and agents with automatic framework integrations, custom spans, trace search, and self-hosted storage. Docs"
open-source-tracing-and-self-hosted-observability--pydantic-logfire,Pydantic Logfire,tool,Open-Source Tracing and Self-Hosted Observability,open-core,active,https://github.com/pydantic/logfire,"Pydantic Logfire is an OpenTelemetry-based observability platform with open SDKs and LLM panels for conversations, tool calls, token usage, cost, latency, errors, logs, and application traces. Docs"
open-source-tracing-and-self-hosted-observability--langtrace,Langtrace,tool,Open-Source Tracing and Self-Hosted Observability,open-source,active,https://github.com/Scale3-Labs/langtrace,"Langtrace is an open-source LLM observability project whose OpenTelemetry-based SDKs collect traces, usage, latency, costs, and evaluation signals for export to Langtrace or another compatible backend. Docs"
open-source-tracing-and-self-hosted-observability--signoz,SigNoz,tool,Open-Source Tracing and Self-Hosted Observability,open-core,active,https://github.com/SigNoz/signoz,"SigNoz is an open-source, OpenTelemetry-native observability backend that can visualize LLM and agent traces, logs, metrics, token usage, latency, and custom alerts alongside application telemetry. Docs"
open-source-tracing-and-self-hosted-observability--openobserve,OpenObserve,tool,Open-Source Tracing and Self-Hosted Observability,open-core,active,https://github.com/openobserve/openobserve,"OpenObserve is an open-source observability backend for logs, metrics, and traces that accepts OTLP data and supports LLM dashboards, cost attribution, trace search, and alerts. Docs"
open-source-tracing-and-self-hosted-observability--jaeger,Jaeger,tool,Open-Source Tracing and Self-Hosted Observability,open-source,active,https://github.com/jaegertracing/jaeger,"Jaeger is a CNCF distributed-tracing backend that stores and visualizes OpenTelemetry traces, including GenAI spans when an LLM-specific instrumentation library supplies the attributes. Docs"
open-source-tracing-and-self-hosted-observability--grafana-tempo,Grafana Tempo,tool,Open-Source Tracing and Self-Hosted Observability,open-source,active,https://github.com/grafana/tempo,Grafana Tempo is an open-source distributed-tracing backend for OTLP and other trace formats that can store LLM and agent traces and correlate them with Grafana logs and metrics. Docs
opentelemetry-and-interoperability-specifications--opentelemetry,OpenTelemetry,tool,OpenTelemetry and Interoperability Specifications,open-source,active,https://github.com/open-telemetry/opentelemetry-specification,"OpenTelemetry is a vendor-neutral specification and ecosystem of APIs, SDKs, and tools for generating, processing, and exporting traces, metrics, and logs. Docs"
opentelemetry-and-interoperability-specifications--opentelemetry-genai-semantic-conventions,OpenTelemetry GenAI semantic conventions,tool,OpenTelemetry and Interoperability Specifications,open-source,active,https://github.com/open-telemetry/semantic-conventions,"OpenTelemetry GenAI semantic conventions define common attributes, events, metrics, and span structures for model calls, token usage, prompts, responses, agents, tools, and retrieval operations. Registry"
opentelemetry-and-interoperability-specifications--openinference,OpenInference,tool,OpenTelemetry and Interoperability Specifications,open-source,active,https://github.com/Arize-ai/openinference,"OpenInference is an open specification and collection of OpenTelemetry instrumentation packages for tracing LLM applications, agents, retrieval systems, and model providers. Docs"
opentelemetry-and-interoperability-specifications--openllmetry,OpenLLMetry,tool,OpenTelemetry and Interoperability Specifications,open-source,active,https://github.com/traceloop/openllmetry,"OpenLLMetry is Traceloop's open-source collection of OpenTelemetry instrumentations for LLM providers, vector databases, and agent frameworks, designed to export to any compatible backend."
opentelemetry-and-interoperability-specifications--opentelemetry-protocol-otlp,OpenTelemetry Protocol (OTLP),tool,OpenTelemetry and Interoperability Specifications,open-source,active,https://opentelemetry.io/docs/specs/otlp/,"OpenTelemetry Protocol (OTLP) is the standard wire protocol for transmitting OpenTelemetry traces, metrics, and logs between SDKs, collectors, and observability backends."
opentelemetry-and-interoperability-specifications--opentelemetry-collector,OpenTelemetry Collector,tool,OpenTelemetry and Interoperability Specifications,open-source,active,https://github.com/open-telemetry/opentelemetry-collector,"OpenTelemetry Collector is a vendor-neutral service for receiving, processing, redacting, sampling, and exporting telemetry, including sensitive GenAI traces. Docs"
opentelemetry-and-interoperability-specifications--w3c-trace-context,W3C Trace Context,tool,OpenTelemetry and Interoperability Specifications,open-source,active,https://www.w3.org/TR/trace-context/,W3C Trace Context is the web standard for propagating trace identifiers across process and service boundaries through traceparent and tracestate headers.
ai-gateways-and-proxies--portkey,Portkey,tool,AI Gateways and Proxies,open-core,active,https://github.com/Portkey-AI/gateway,"Portkey is an open-source AI gateway with a commercial control plane for multi-provider routing, retries, caching, budgets, guardrails, request logs, and observability. Docs"
ai-gateways-and-proxies--litellm,LiteLLM,tool,AI Gateways and Proxies,open-core,active,https://github.com/BerriAI/litellm,"LiteLLM is an open-source Python SDK and proxy that exposes a unified API across model providers and supports routing, fallbacks, rate limits, budgets, spend tracking, and logging callbacks. Docs"
ai-gateways-and-proxies--kong-ai-gateway,Kong AI Gateway,tool,AI Gateways and Proxies,open-core,active,https://konghq.com/products/kong-ai-gateway,"Kong AI Gateway extends Kong's API gateway with model-provider routing, authentication, rate limiting, semantic controls, observability plugins, and enterprise governance. Docs"
ai-gateways-and-proxies--envoy-ai-gateway,Envoy AI Gateway,tool,AI Gateways and Proxies,open-source,active,https://github.com/envoyproxy/ai-gateway,"Envoy AI Gateway is an open-source project built on Envoy Gateway for routing generative-AI traffic with provider-independent APIs, policy, usage accounting, and Kubernetes integration."
ai-gateways-and-proxies--cloudflare-ai-gateway,Cloudflare AI Gateway,tool,AI Gateways and Proxies,commercial,active,https://developers.cloudflare.com/ai-gateway/,"Cloudflare AI Gateway is a managed proxy for model-provider requests with analytics, logging, caching, rate limiting, retries, and dynamic routing on Cloudflare's network."
ai-gateways-and-proxies--vercel-ai-gateway,Vercel AI Gateway,tool,AI Gateways and Proxies,commercial,active,https://vercel.com/ai-gateway,"Vercel AI Gateway is a managed endpoint for accessing and routing across models with provider failover, usage visibility, budgets, and integration with the Vercel AI SDK. Docs"
ai-gateways-and-proxies--truefoundry-ai-gateway,TrueFoundry AI Gateway,tool,AI Gateways and Proxies,commercial,active,https://www.truefoundry.com/ai-gateway,"TrueFoundry AI Gateway is an enterprise gateway for model and MCP access with routing, budgets, guardrails, identity-aware controls, audit logs, and self-hosted deployment options. Docs"
ai-gateways-and-proxies--gloo-ai-gateway,Gloo AI Gateway,tool,AI Gateways and Proxies,open-core,active,https://www.solo.io/products/gloo-ai-gateway,"Gloo AI Gateway is Solo.io's Envoy-based gateway for model routing, prompt guards, rate limits, failover, telemetry, and Kubernetes-native policy, with open-source components and enterprise features."
ai-gateways-and-proxies--bifrost,Bifrost,tool,AI Gateways and Proxies,open-source,active,https://github.com/maximhq/bifrost,"Bifrost is an open-source Go gateway from Maxim AI that provides a unified model API, routing, fallbacks, caching, budgets, usage logs, Prometheus metrics, and OpenTelemetry export."
ai-gateways-and-proxies--openrouter,OpenRouter,tool,AI Gateways and Proxies,commercial,active,https://openrouter.ai/,"OpenRouter is a managed unified API and routing service for multiple model providers with usage accounting, provider selection, fallbacks, and optional trace broadcasting. Docs"
ai-gateways-and-proxies--keywords-ai,Keywords AI,tool,AI Gateways and Proxies,commercial,active,https://keywordsai.co/,"Keywords AI is a managed AI gateway and developer platform with multi-provider routing, retries, caching, rate limits, request logs, cost analytics, and evaluations. Docs"
ai-gateways-and-proxies--traefik-hub-ai-gateway,Traefik Hub AI Gateway,tool,AI Gateways and Proxies,commercial,active,https://traefik.io/solutions/ai-gateway,"Traefik Hub AI Gateway extends Traefik's API management layer with model routing, authentication, rate limiting, token controls, observability, and governance for LLM and agent traffic."
online-quality-evaluation-and-feedback-monitoring--deepeval,DeepEval,tool,Online Quality Evaluation and Feedback Monitoring,open-source,active,https://github.com/confident-ai/deepeval,"DeepEval is an open-source LLM evaluation framework that can score application outputs and traces with reusable metrics in development, CI, and production monitoring workflows. Docs"
online-quality-evaluation-and-feedback-monitoring--evidently,Evidently,tool,Online Quality Evaluation and Feedback Monitoring,open-core,active,https://github.com/evidentlyai/evidently,"Evidently is an open-source evaluation and monitoring framework with a managed cloud for LLM judges, text and tabular metrics, test suites, dashboards, and live quality monitoring. Docs"
online-quality-evaluation-and-feedback-monitoring--patronus-ai,Patronus AI,tool,Online Quality Evaluation and Feedback Monitoring,commercial,active,https://www.patronus.ai/,"Patronus AI is an evaluation and monitoring platform for scoring LLM and agent interactions with built-in, custom, and proprietary evaluators, production traces, analytics, and alerts. Docs"
online-quality-evaluation-and-feedback-monitoring--openlayer,Openlayer,tool,Online Quality Evaluation and Feedback Monitoring,commercial,active,https://www.openlayer.com/,"Openlayer is an AI quality platform for tests, CI checks, production monitoring, alerts, version comparisons, and governance across generative and predictive systems. Docs"
online-quality-evaluation-and-feedback-monitoring--fiddler,Fiddler,tool,Online Quality Evaluation and Feedback Monitoring,commercial,active,https://www.fiddler.ai/,"Fiddler is an enterprise AI observability platform for monitoring model and LLM performance, drift, explanations, safety, and quality signals in production."
online-quality-evaluation-and-feedback-monitoring--arthur-ai,Arthur AI,tool,Online Quality Evaluation and Feedback Monitoring,commercial,active,https://www.arthur.ai/,"Arthur AI is an enterprise monitoring platform for model performance, explainability, drift, bias, and LLM quality and safety checks across production AI systems."
online-quality-evaluation-and-feedback-monitoring--giskard-hub,Giskard Hub,tool,Online Quality Evaluation and Feedback Monitoring,open-core,active,https://www.giskard.ai/,"Giskard Hub is a commercial testing and monitoring platform built alongside the open-source Giskard library, with automated evaluations, vulnerability scans, continuous testing, and reporting. GitHub"
online-quality-evaluation-and-feedback-monitoring--trulens,TruLens,tool,Online Quality Evaluation and Feedback Monitoring,open-source,active,https://github.com/truera/trulens,"TruLens is an open-source library for instrumenting and evaluating LLM applications with feedback functions, trace records, dashboards, and production-oriented evaluation workflows. Docs"
online-quality-evaluation-and-feedback-monitoring--ragas,Ragas,tool,Online Quality Evaluation and Feedback Monitoring,open-source,active,https://github.com/vibrantlabsai/ragas,Ragas is an open-source evaluation library for LLM applications that supplies reusable RAG and agent metrics and can score traced or logged interactions through integrations. Docs
online-quality-evaluation-and-feedback-monitoring--qualifire,Qualifire,tool,Online Quality Evaluation and Feedback Monitoring,commercial,active,https://www.qualifire.ai/,"Qualifire is a runtime quality and safety platform that evaluates LLM inputs and outputs, applies policy, records incidents, and exposes monitoring and analytics for production applications."
online-quality-evaluation-and-feedback-monitoring--databricks-mlflow-production-monitoring,Databricks MLflow Production Monitoring,tool,Online Quality Evaluation and Feedback Monitoring,commercial,active,https://docs.databricks.com/aws/en/mlflow3/genai/eval-monitor/production-monitoring,Databricks MLflow Production Monitoring continuously runs registered code-based or model-based scorers over sampled MLflow traces and attaches the results as feedback for analysis.
online-quality-evaluation-and-feedback-monitoring--cleanlab-tlm,Cleanlab TLM,tool,Online Quality Evaluation and Feedback Monitoring,commercial,active,https://cleanlab.ai/tlm/,"Cleanlab TLM is an API and platform that adds trustworthiness scores and explanations to LLM responses for filtering, routing, and monitoring uncertain outputs. Docs"
agent-observability-and-session-replay--agentops,AgentOps,tool,Agent Observability and Session Replay,open-source,active,https://github.com/AgentOps-AI/agentops,"AgentOps is an open-source SDK and service for recording agent sessions, tool calls, model calls, errors, costs, and replayable execution timelines across agent frameworks. Docs"
agent-observability-and-session-replay--agentneo,AgentNeo,tool,Agent Observability and Session Replay,open-source,active,https://github.com/raga-ai-hub/agentneo,"AgentNeo is an open-source Python SDK and self-hosted dashboard for tracing agents, LLM calls, tools, costs, execution time, and multi-agent graphs, with evaluation support. Docs"
agent-observability-and-session-replay--ragaai-catalyst,RagaAI Catalyst,tool,Agent Observability and Session Replay,open-core,active,https://github.com/raga-ai-hub/RagaAI-Catalyst,"RagaAI Catalyst is an agent testing and observability platform with trace management, execution graphs, evaluations, prompt and dataset management, guardrails, and production analytics. Docs"
agent-observability-and-session-replay--openai-agents-sdk-tracing,OpenAI Agents SDK Tracing,tool,Agent Observability and Session Replay,open-source,active,https://github.com/openai/openai-agents-python/blob/main/docs/tracing.md,"OpenAI Agents SDK Tracing records agent runs, model generations, tool calls, handoffs, guardrails, and custom spans and can send them to OpenAI's Traces dashboard or custom processors."
agent-observability-and-session-replay--crewai-amp,CrewAI AMP,tool,Agent Observability and Session Replay,commercial,active,https://docs.crewai.com/en/observability/tracing,"CrewAI AMP is CrewAI's managed platform for tracing Crews and Flows, including agent decisions, task timelines, tools, LLM calls, token usage, costs, errors, logs, and performance analytics."
agent-observability-and-session-replay--langgraph-platform,LangGraph Platform,tool,Agent Observability and Session Replay,commercial,active,https://www.langchain.com/langgraph-platform,"LangGraph Platform is a managed runtime for stateful agents with deployment, thread and run inspection, time-travel debugging, streaming, and integrated LangSmith tracing. Docs"
agent-observability-and-session-replay--amazon-bedrock-agentcore-observability,Amazon Bedrock AgentCore Observability,tool,Agent Observability and Session Replay,commercial,active,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/observability.html,"Amazon Bedrock AgentCore Observability emits OpenTelemetry-compatible metrics, spans, and logs for agent runtimes, tools, gateways, memory, sessions, latency, token use, and errors through Amazon CloudWatch."
agent-observability-and-session-replay--google-cloud-agent-observability,Google Cloud Agent Observability,tool,Agent Observability and Session Replay,commercial,active,https://docs.cloud.google.com/stackdriver/docs/observability/agent-observability,"Google Cloud Agent Observability uses OpenTelemetry GenAI conventions to present agent metrics, topology, logs, token usage, latency, and execution traces across supported Google Cloud agent services."
agent-observability-and-session-replay--microsoft-foundry-agent-tracing,Microsoft Foundry Agent Tracing,tool,Agent Observability and Session Replay,commercial,active,https://learn.microsoft.com/en-us/azure/foundry/observability/concepts/trace-agent-concept,"Microsoft Foundry Agent Tracing captures agent inputs, outputs, tools, retries, latency, and cost with OpenTelemetry and stores traces in Azure Monitor Application Insights."
agent-observability-and-session-replay--agentuity,Agentuity,tool,Agent Observability and Session Replay,commercial,active,https://agentuity.com/product/observability,"Agentuity is an agent cloud with automatic OpenTelemetry tracing, structured logs, session timelines, production evaluations, token and cost attribution, and live deployment debugging."
agent-observability-and-session-replay--traccia,Traccia,tool,Agent Observability and Session Replay,open-core,active,https://github.com/traccia-ai/traccia,"Traccia is an OpenTelemetry-native SDK and platform for agent tracing, token and cost tracking, registry, policy monitoring, governance evidence, and export to compatible backends. Docs"
cost-latency-and-inference-performance-monitoring--tokencost,tokencost,tool,"Cost, Latency, and Inference Performance Monitoring",open-source,active,https://github.com/AgentOps-AI/tokencost,tokencost is an open-source library for counting tokens and estimating request costs across model providers from a maintained pricing table.
cost-latency-and-inference-performance-monitoring--genai-prices,genai-prices,tool,"Cost, Latency, and Inference Performance Monitoring",open-source,active,https://github.com/pydantic/genai-prices,"genai-prices is an open-source package from Pydantic for calculating generative-model request costs from token and usage metadata, including provider-specific pricing dimensions."
cost-latency-and-inference-performance-monitoring--vllm-production-metrics,vLLM Production Metrics,tool,"Cost, Latency, and Inference Performance Monitoring",open-source,active,https://github.com/vllm-project/vllm,"vLLM Production Metrics are Prometheus-compatible counters, gauges, and histograms exposed by the vLLM server for requests, queueing, cache use, token throughput, latency, and model execution. Docs"
cost-latency-and-inference-performance-monitoring--nvidia-dcgm-exporter,NVIDIA DCGM Exporter,tool,"Cost, Latency, and Inference Performance Monitoring",open-source,active,https://github.com/NVIDIA/dcgm-exporter,"NVIDIA DCGM Exporter exposes GPU health, utilization, memory, power, and interconnect metrics in Prometheus format for monitoring self-hosted inference infrastructure."
cost-latency-and-inference-performance-monitoring--prometheus,Prometheus,tool,"Cost, Latency, and Inference Performance Monitoring",open-source,active,https://github.com/prometheus/prometheus,"Prometheus is an open-source metrics and alerting system commonly used to scrape model servers, gateways, collectors, and GPU exporters and to alert on LLM operational signals. Docs"
cost-latency-and-inference-performance-monitoring--opencost,OpenCost,tool,"Cost, Latency, and Inference Performance Monitoring",open-source,active,https://github.com/opencost/opencost,"OpenCost is an open-source specification and implementation for attributing Kubernetes infrastructure costs, including GPU-backed inference workloads, by cluster, namespace, workload, and label."
cost-latency-and-inference-performance-monitoring--guidellm,GuideLLM,tool,"Cost, Latency, and Inference Performance Monitoring",open-source,active,https://github.com/vllm-project/guidellm,"GuideLLM is an open-source benchmarking tool from the vLLM project for measuring latency, throughput, concurrency behavior, and saturation limits of LLM serving endpoints."
cost-latency-and-inference-performance-monitoring--nvidia-genai-perf,NVIDIA GenAI-Perf,tool,"Cost, Latency, and Inference Performance Monitoring",open-source,active,https://github.com/triton-inference-server/perf_analyzer/tree/main/genai-perf,"NVIDIA GenAI-Perf is an open-source command-line tool for measuring generative-model serving metrics such as time to first token, inter-token latency, throughput, and request latency."
cost-latency-and-inference-performance-monitoring--llmperf,LLMPerf,tool,"Cost, Latency, and Inference Performance Monitoring",open-source,active,https://github.com/ray-project/llmperf,"LLMPerf is an open-source Ray project for load-testing LLM APIs and reporting latency, token throughput, request throughput, and correctness checks on returned responses."
security-compliance-and-runtime-policy-monitoring--deepteam,DeepTeam,tool,"Security, Compliance, and Runtime Policy Monitoring",open-source,active,https://github.com/confident-ai/deepteam,"DeepTeam is an open-source LLM red-teaming framework for probing AI systems with configurable attacks and vulnerability checks covering safety, privacy, security, and agent behavior. Docs"
security-compliance-and-runtime-policy-monitoring--lakera-guard,Lakera Guard,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://www.lakera.ai/lakera-guard,"Lakera Guard is a runtime security API for detecting prompt injection, jailbreaks, harmful content, and sensitive data in LLM inputs and outputs, with policy and threat analytics."
security-compliance-and-runtime-policy-monitoring--cisco-ai-defense,Cisco AI Defense,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://www.cisco.com/site/us/en/products/security/ai-defense/index.html,"Cisco AI Defense is an enterprise security platform for discovering AI usage, validating models and applications, inspecting runtime traffic, enforcing policy, and recording security events."
security-compliance-and-runtime-policy-monitoring--palo-alto-prisma-airs,Palo Alto Prisma AIRS,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://www.paloaltonetworks.com/prisma/prisma-ai-runtime-security/ai-runtime-security,"Palo Alto Prisma AIRS is an AI security platform that monitors and protects prompts, responses, models, data flows, tools, and agents with runtime inspection, policy enforcement, posture management, and red teaming."
security-compliance-and-runtime-policy-monitoring--hiddenlayer-ai-runtime-security,HiddenLayer AI Runtime Security,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://www.hiddenlayer.com/platform/ai-runtime-security,"HiddenLayer AI Runtime Security monitors model inputs, outputs, agent workflows, and tool use to detect prompt attacks, unsafe content, data exposure, and anomalous behavior, with blocking and investigation workflows."
security-compliance-and-runtime-policy-monitoring--sentinelone-prompt-security,SentinelOne Prompt Security,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://www.sentinelone.com/platform/securing-ai-prompt/,"SentinelOne Prompt Security provides discovery, real-time governance, data-loss prevention, threat protection, and policy controls across employee AI tools, custom applications, and autonomous agents."
security-compliance-and-runtime-policy-monitoring--mindgard,Mindgard,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://www.mindgard.ai/,"Mindgard is an AI security testing and runtime platform for discovering AI assets, assessing model and application vulnerabilities, monitoring threats, and integrating findings with security workflows."
security-compliance-and-runtime-policy-monitoring--llm-guard,LLM Guard,tool,"Security, Compliance, and Runtime Policy Monitoring",open-source,active,https://github.com/protectai/llm-guard,"LLM Guard is an open-source toolkit from Protect AI that scans and sanitizes LLM prompts and responses for injection, secrets, PII, toxicity, malicious URLs, and other configurable risks."
security-compliance-and-runtime-policy-monitoring--enkrypt-ai-guardrails,Enkrypt AI Guardrails,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://www.enkryptai.com/product/agent-guardrails,"Enkrypt AI Guardrails is a runtime policy layer that approves, modifies, or blocks risky prompts, retrievals, responses, MCP calls, and agent tool actions while recording audit-ready decisions."
security-compliance-and-runtime-policy-monitoring--gram,Gram,tool,"Security, Compliance, and Runtime Policy Monitoring",open-source,active,https://github.com/speakeasy-api/gram,"Gram is an open-source AI control plane for governing access to MCPs, Skills, and Assistants with policy enforcement, threat detection, and searchable event records."
security-compliance-and-runtime-policy-monitoring--noma-security,Noma Security,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://noma.security/platform/runtime-protection/,"Noma Security monitors prompts, responses, tool calls, MCP traffic, and agent-to-agent communication in real time and applies detection, masking, blocking, audit logging, and compliance policies."
security-compliance-and-runtime-policy-monitoring--cranium,Cranium,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://cranium.ai/platform/,"Cranium is an AI security and governance platform for discovering models and agents, monitoring drift and data exposure, tracking tool use, enforcing controls, and generating compliance evidence."
security-compliance-and-runtime-policy-monitoring--llamafirewall,LlamaFirewall,tool,"Security, Compliance, and Runtime Policy Monitoring",open-source,active,https://github.com/meta-llama/PurpleLlama/tree/main/LlamaFirewall,"LlamaFirewall is Meta's open-source runtime guardrail framework for agentic systems, combining prompt-injection detection, agent-alignment checks, and code-safety analysis."
security-compliance-and-runtime-policy-monitoring--google-cloud-model-armor,Google Cloud Model Armor,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://cloud.google.com/security-command-center/docs/model-armor-overview,"Google Cloud Model Armor screens prompts and responses for prompt injection, jailbreaks, harmful content, malicious URLs, and sensitive data and exposes findings for centralized security operations."
security-compliance-and-runtime-policy-monitoring--azure-ai-content-safety,Azure AI Content Safety,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://azure.microsoft.com/en-us/products/ai-services/ai-content-safety,"Azure AI Content Safety provides APIs and controls for content classification, prompt-attack detection, groundedness checks, custom categories, blocklists, and monitoring of moderation outcomes."
security-compliance-and-runtime-policy-monitoring--amazon-bedrock-guardrails,Amazon Bedrock Guardrails,tool,"Security, Compliance, and Runtime Policy Monitoring",commercial,active,https://aws.amazon.com/bedrock/guardrails/,"Amazon Bedrock Guardrails applies configurable content filters, denied topics, sensitive-information controls, contextual grounding checks, and automated reasoning checks and records interventions for monitoring."
cloud-and-apm-suites-with-llm-observability--datadog-agent-observability,Datadog Agent Observability,tool,Cloud and APM Suites with LLM Observability,commercial,active,https://www.datadoghq.com/products/ai/agent-observability/,"Datadog Agent Observability traces LLM and agent workflows and monitors token usage, cost, latency, errors, quality, privacy, and safety alongside Datadog APM, infrastructure, logs, and user-experience telemetry. Docs"
